university,college,department,branch,min_grade
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الدارية,علمي,51.71
معهد الدارة التقني,بغداد,,أدبي,51.43
الجامعة التقنية الشمالية,المعهد التقني الحويجة,التخصصات الدارية,علمي,51.29
جامعة الفرات الوسط التقنية,المعهد التقني الرميثة,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,50.86
الجامعة التقنية الوسطى,المعهد التقني بلد,التخصصات الدارية-قسم تقنيات المحاسبة,أدبي,50.86
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الدارية,أدبي,50.86
جامعة الفرات الوسط التقنية,المعهد التقني الكوفة,التخصصات الدارية,أدبي,50.57
الجامعة التقنية الشمالية,معهد الدارة التقني,نينوى,علمي,50.57
الجامعة التقنية الوسطى,المعهد التقني الكوت,التخصصات الدارية,أدبي,50.57
جامعة الفرات الوسط التقنية,المعهد التقني المسيب,التخصصات الدارية,علمي,50.57
معهد الدارة التقني,بغداد,,علمي,50.43
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الدارية,علمي,50.43
الجامعة التقنية الوسطى,المعهد التقني الصويرة,التخصصات الدارية,أدبي,50.43
الجامعة التقنية الوسطى,المعهد التقني بعقوبة,التخصصات الدارية,أدبي,50.43
جامعة الفرات الوسط التقنية,المعهد التقني السماوة,التخصصات الدارية,أدبي,50.43
الجامعة التقنية الشمالية,المعهد التقني كركوك,التخصصات الدارية,علمي,50.29
جامعة الفرات الوسط التقنية,المعهد التقني النجف,التخصصات الدارية,أدبي,50.0
جامعة الفرات الوسط التقنية,المعهد التقني بابل,التخصصات الدارية,أدبي,50.0
الجامعة التقنية الشمالية,معهد الدارة التقني,نينوى,أدبي,50.0
الجامعة التقنية الوسطى,معهد الدارة,الرصافة,علمي,50.0
الجامعة التقنية الوسطى,المعهد التقني النبار,التخصصات الدارية,أدبي,50.0
جامعة الفرات الوسط التقنية,المعهد التقني النجف,التخصصات الدارية,علمي,50.0
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,تخصصات الفنون التطبيقية-قسم تقنيات الفنون التطبيقية,علمي,65.71
جامعة الفرات الوسط التقنية,المعهد التقني النجف,تخصصات الفنون التطبيقية-قسم تقنيات التصميم والتزيين المعماري,علمي,62.14
معهد الفنون التطبيقية,بغداد,,علمي,60.43
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,تخصصات الفنون التطبيقية-قسم تقنيات الفنون التطبيقية,أدبي,56.14
الجامعة التقنية الجنوبية,المعهد التقني الناصرية,تخصصات الفنون التطبيقية-قسم تقنيات الفنون التطبيقية,فنون,55.0
معهد الفنون التطبيقية,بغداد,,أدبي,54.29
معهد الفنون التطبيقية,بغداد,,فنون,52.0
جامعة الفرات الوسط التقنية,المعهد التقني النجف,تخصصات الفنون التطبيقية-قسم تقنيات التصميم والتزيين المعماري,أدبي,51.43
جامعة الفرات الوسط التقنية,المعهد التقني النجف,تخصصات الفنون التطبيقية-قسم تقنيات التصميم والتزيين المعماري,فنون,50.0
الجامعة التقنية الوسطى,معهد اعداد المدربين التقنيين,بغداد,علمي,50.57
